Unit,Date,Production Potential,Gross Oil Production,Net Oil Production,Oil_Losses,Class,Oil_Salinity,BSW_Outlet,Produced Water,Discharged Water,Oil Content in Discharged Water,Total WI,Target WI,WI Losses,Produced Gas,Gas Injection,Target GI,Import Gas,Gas Export,HP Fuel Gas,LP Fuel Gas,HP Flare,LP Flare,Fuel Gas,Flare,Flare Commulative
Unit_1,8/23/2021,693.39,0,0,693.39,Normal,0,0,0,0,0,,,0,80517,0,0,0,0,1,,,80516,1,80516,
Unit_1,8/24/2021,2880,0,0,2880,HighLoss,0,0,0,0,0,,,0,471364,0,0,0,0,96,,,471268,96,471268,
Unit_1,8/25/2021,3698.1,2287.18,2258.13,1439.97,Normal,354,1.27,29.04,0,0,,,0,549220,0,0,0,0,0,,,549220,0,549220,
Unit_1,8/26/2021,4539.4,4622.21,4539.47,0,Normal,285,1.79,82.73,0,0,,,0,757009,0,0,0,0,0,,,757009,0,757009,
Unit_1,8/27/2021,5428.3,5451.78,5428.33,0,Normal,352,0.43,23.44,0,0,,,0,871889,0,0,0,0,0,,,871889,0,871889,
Unit_1,8/28/2021,7216,7242.86,7216.06,0,Normal,352,0.37,26.79,0,0,,,0,1141911,0,0,0,0,0,,,1141911,0,1141911,
Unit_1,8/29/2021,8000,5819.18,5808.7,2191.3,HighLoss,253,0.18,10.47,0,0,,,0,879844,0,0,0,0,108,,,879736,108,879736,
Unit_1,8/30/2021,7958,7971.64,7958.05,0,Normal,281,0.17,13.55,0,0,,,0,1252910,0,0,0,0,186,,,1252724,186,1252724,
Unit_1,8/31/2021,7972.6,8012.76,7972.69,0,Normal,639,0.5,40.06,0,0,,,0,1213765,0,0,0,0,200,,,1213565,200,1213565,
Unit_1,9/1/2021,8030.4,8060.24,8030.41,0,Normal,472,0.37,29.82,0,0,,,0,1186299,0,0,0,0,222,,,1186077,222,1186077,
Unit_1,9/2/2021,7833,7865.35,7833.09,0,Normal,480,0.41,13.37,0,0,,,0,1195283,0,0,0,0,254,,,1195029,254,1195029,
Unit_1,9/3/2021,8614.5,8641.35,8018.49,596.01,Normal,485,0.31,2.58,0,0,,,0,1197448,0,0,0,0,275,,,1197173,275,1197173,
Unit_1,9/4/2021,8417.8,8434.78,8076.22,341.58,Normal,423,0.2,2.52,0,0,,,0,1199029,0,0,0,0,286,,,1198743,286,1198743,
Unit_1,9/5/2021,8017.7,8023.4,8017.78,0,Normal,224,0.07,1.6,0,0,,,0,1201193,0,0,0,0,302,,,1200891,302,1200891,
