Unit,Date,Production_Potential,Gross_Oil_Production,Net_Oil_Production,Oil_Losses,Oil_Salinity,BSW_Outlet,Produced_Water,Discharged_Water,Oil_Content_in_Discharged_Water,Total_WI,Target_WI,WI Losses,Produced Gas,Gas Injection,Target GI,Gas Lift,Import Gas,Gas Export,HP Fuel Gas,LP Fuel Gas,HP Flare,LP Flare,Fuel Gas,Flare,Flare Commulative
Unit_1,11/26/2017,2200,0,0,2200,22,3,-0.1,0,0,0.00,0,0.00,89572,0,0,0,0,0,0,0,79513,10059,0,89572,89572
Unit_1,11/27/2017,2200,12.64,0,2200,10,0.47,12.54,0,0,0.00,0,0.00,0,0,0,0,0,0,8131,0,230697,43141,8131,273838,363410
Unit_1,11/28/2017,2343.85,2353.75,2343.85,0,14,0.42,9.9,0,0,0.00,0,0.00,173271,0,0,0,0,0,0,0,115775,57496,0,173271,536681
Unit_1,11/29/2017,2376.35,2385.19,2376.35,0,15,0.37,8.84,0,0,0.00,0,0.00,873659,0,0,0,0,0,0,0,572895,80144,0,653039,1189720
Unit_1,11/30/2017,2537.85,2587.37,2537.85,0,13,0.34,49.52,0,0,0.00,0,0.00,958482,0,0,0,0,0,0,0,856174,102308,0,958482,2148202
Unit_1,12/1/2017,2893.86,2903.16,2893.86,0,15,0.32,9.3,0,0,0.00,0,0.00,1104266,0,0,0,0,0,0,0,953175,151091,0,1104266,3252468
Unit_1,12/2/2017,2916.49,2922.06,2916.49,0,88,0.19,5.57,0,0,0.00,0,0.00,1104557,0,0,0,0,0,0,0,958915,145642,0,1104557,4357025
Unit_1,12/3/2017,2916.49,2885.62,2882.71,33.78,95,0.1,2.91,0,0,0.00,0,0.00,1083669,0,0,0,0,0,0,0,944174,139495,0,1083669,5440694
Unit_1,12/4/2017,2916.49,2554.37,2553.09,363.4,99,0.05,1.28,0,0,0.00,0,0.00,934675,0,0,0,0,0,0,0,818599,116076,0,934675,6375369
Unit_1,12/5/2017,2916.49,2925.47,2924,0,144,0.05,1.47,0,0,0.00,0,0.00,1108994,0,0,0,0,0,0,0,968477,140517,0,1108994,7484363
Unit_1,12/6/2017,2916.49,2909.12,2907.92,8.57,255,0.04,1.2,0,0,0.00,0,0.00,1091493,0,0,0,0,0,0,0,950940,140601,0,1091541,8575904
Unit_1,12/7/2017,2984,2589.28,2585.62,398.38,514,0.14,3.66,0,0,0.00,0,0.00,1020044,0,0,0,0,0,0,0,886750,133302,0,1020052,9595956
Unit_1,12/8/2017,2984,1148.04,1142.4,1841.6,170,0.49,5.64,0,0,0.00,0,0.00,1142319,0,0,0,0,0,0,0,990174,152145,0,1142319,10738275
Unit_1,12/9/2017,2984,3156.23,3143.91,0,126,0.39,12.32,0,0,0.00,0,0.00,1142849,0,0,0,0,0,0,0,975928,166921,0,1142849,11881124
Unit_1,12/10/2017,0,2298.09,2292.3,0,210,0.39,5.79,0,0,0.00,0,0.00,674814,0,0,0,0,0,0,0,574283,100531,0,674814,12555938
Unit_1,12/11/2017,1243,59.12,59.12,1183.88,0,0,0,0,0,0.00,0,0.00,7410,0,0,0,0,0,0,0,3783,3627,0,7410,12563348
Unit_1,12/12/2017,2984,2605.47,2592.93,391.07,188,0.48,12.54,0,0,0.00,0,0.00,879728,0,0,0,0,0,0,0,754758,124970,0,879728,13443076
Unit_1,12/13/2017,2984,1449.67,1447.2,1536.8,384,0.17,2.47,0,0,0.00,0,0.00,1120915,0,0,0,0,0,0,0,950815,170100,0,1120915,14563991
Unit_1,12/14/2017,2984,260.98,260.38,2723.62,167,0.22,0.6,0,0,0.00,0,0.00,34878,0,0,0,0,0,0,0,27006,7872,0,34878,14598869
Unit_1,12/15/2017,2984,2738.11,2720.26,263.74,278,0.65,17.85,0,0,0.00,0,0.00,1004471,0,0,0,0,0,0,0,844605,159866,0,1004471,15603340
Unit_1,12/16/2017,2984,3020.07,3008.59,0,50,0.38,11.48,0,0,0.00,0,0.00,1154767,0,0,0,0,0,0,0,986710,168057,0,1154767,16758107
Unit_1,12/17/2017,2984,2940.23,2929.04,54.96,82,0.38,11.19,22.09,22,0.00,0,0.00,1144101,0,0,0,0,0,0,0,976157,167944,0,1144101,17902208
Unit_1,12/18/2017,2984,2097.88,2090.31,893.69,82,0.36,7.57,0,0,0.00,0,0.00,802559,0,0,0,0,0,0,0,690024,112535,0,802559,18704767
Unit_1,12/19/2017,2984,2818.99,2805.73,178.27,117,0.47,13.26,0,0,0.00,0,0.00,1056442,87,87,0,0,0,0,0,907617,148738,0,1056355,19761122
Unit_1,12/20/2017,2984,3088.33,3075.05,0,153,0.43,13.28,0,0,0.00,0,0.00,1113596,0,0,0,0,0,0,0,980601,132995,0,1113596,20874718
Unit_1,12/21/2017,2984,3082.66,3069.08,0,156,0.44,13.58,0,0,0.00,0,0.00,1106612,0,0,0,0,0,0,0,979264,127348,0,1106612,21981330
Unit_1,12/22/2017,2985,2438.67,2427.45,557.55,152,0.46,11.22,0,0,0.00,0,0.00,887149,0,0,0,0,0,0,0,786393,100756,0,887149,22868479
Unit_1,12/23/2017,0,0,0,0,0,0,0,0,0,0.00,0,0.00,17231,0,0,0,0,0,0,0,7332,9899,0,17231,22885710
Unit_1,12/24/2017,0,0,0,0,0,0,0,0,0,0.00,0,0.00,16708,0,0,0,0,0,0,0,6975,9733,0,16708,22902418
Unit_1,12/25/2017,0,0,0,0,0,0,0,0,0,0.00,0,0.00,11591,0,0,0,0,0,0,0,5641,5950,0,11591,22914009
Unit_1,12/26/2017,0,0.05,0,0,0,0,0,0,0,0.00,0,0.00,10289,0,0,0,0,0,0,0,5051,5238,0,10289,22924298
Unit_1,12/27/2017,0,0,0,0,0,0,0,0,0,0.00,0,0.00,2956,0,0,0,0,0,0,0,1554,1402,0,2956,22927254
Unit_1,12/28/2017,2985,0,0,2985,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22927254
Unit_1,12/29/2017,2985,0,0,2985,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22927254
